UID,Name,Description,Owner,Owner UID,Publication Stage,Audience,Approval Status,Provenance,Type,Category,Tags,url,API Endpoint,Creation Date (UTC),Last Metadata Updated Date (UTC),Last Data Updated Date (UTC),Domain,Derived View,Visits,Downloads,Row Label,Row Count,Column Count,Contact Email,License,Attribution,Attribution Link,Published Version Name,Published Version UID,Parent UID,Supplemental Resources: Related Datasets Link(s),Jurisdiction: Jurisdiction,Time Period: Update Frequency,Time Period: Time Period of Content,Agency: State Agency Performing Data Updates,GIS Download: Place Keywords,Time Period: Date Metadata Written,Supplemental Resources: Additional Documentation Link,days_since_data_update,asset_age,expected_update_days,recently_enough,accessible,"Time Period: Other Update Frequency   If frequency isn't included in list above, please describe it here.",Data Def: data location,GIS Download: Shape File
9b53-q73f,Wetlands - Polygon - Special State Concern,"In Maryland certain wetlands with rare, threatened, endangered species or unique habitat receive special attention. The Code of Maryland Regulations (COMAR) Title 26, Subtitle 23, Chapter 06, Sections 01 & 02 identifies these Wetlands of Special State Concern (WSSC) and affords them certain protections including a 100 foot buffer from development. The Maryland Department of the Environment is responsible for identifying and regulating these wetlands. In general, the US Fish and Wildlife Service's National Wetlands Inventory wetlands provide the basis for identifying these special wetlands. Additional information, determined from field inspections, is used to identify and classify these areas. Last Updated: 08/2017",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/9b53-q73f,https://opendata.maryland.gov/resource/9b53-q73f.json,07/22/2025 12:04:17 AM,07/22/2025 12:04:18 AM,07/22/2025 12:04:22 AM,opendata.maryland.gov,false,2,1,,889,5,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
dmih-tisu,Census Block - Download,This layer contains the average download speed (mbps) per census block.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/dmih-tisu,https://opendata.maryland.gov/resource/dmih-tisu.json,07/22/2025 03:39:37 AM,07/22/2025 03:39:37 AM,07/22/2025 03:41:14 AM,opendata.maryland.gov,false,2,0,,103247,13,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
mdyr-a87b,MD Amphibian and Reptile Atlas Grid,"This shapefile contains the outline of each Breeding Bird Atlas block for the entire state. A ""block"" is the basic unit of data collection for the Maryland/DC Breeding Bird Atlas, a cooperative project of MD DNR and the MD Ornithological Society. A block is defined as one-sixth of a USGS 7.5 minute quadrangle: the quad is halved vertically and cut into thirds horizontally.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/mdyr-a87b,https://opendata.maryland.gov/resource/mdyr-a87b.json,07/22/2025 02:37:20 AM,07/22/2025 02:37:21 AM,07/22/2025 02:37:23 AM,opendata.maryland.gov,false,2,0,,1431,9,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
7wvg-ezcw,VEIP Service Locations,This dataset contains the locations of Motor Vehicle Administration (MVA) and Vehicle Emissions Inspection Program (VEIP) facilities throughout Maryland.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/7wvg-ezcw,https://opendata.maryland.gov/resource/7wvg-ezcw.json,07/22/2025 03:28:59 AM,07/22/2025 03:29:00 AM,07/22/2025 03:29:02 AM,opendata.maryland.gov,false,2,0,,18,12,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
asyx-3ugb,Regional Transportation Agency Routes,"This layer displays the bus routes of the Regional Transportation Agency (RTA). Layer includes all variants of route patterns with their corresponding symbology, route number, and route name. This data was mapped for use within the RTA GTFS feed and then converted to shapefiles.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/asyx-3ugb,https://opendata.maryland.gov/resource/asyx-3ugb.json,07/22/2025 03:41:05 AM,07/22/2025 03:41:06 AM,07/22/2025 03:41:09 AM,opendata.maryland.gov,false,2,0,,95,9,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
bq7r-auss,Roadway Federal Aid Eligibility,"Roadway Federal Aid Eligibility data consists of linear geometric features which specifically show public roadways that are eligible for Federal funding in the State of Maryland. Roadway Federal Aid Eligibility data is primarily used for general planning and funding purposes, as well as for Federal Highway Administration (FHWA) Highway Performance Monitoring System (HPMS) annual submission & coordination. The Maryland Department of Transportation State Highway Administration (MDOT SHA) currently reports this data only on the inventory direction (generally North or East) side of the roadway. Roadway Federal Aid Eligibility data is not a complete representation of all roadway geometry. Roadway Federal Aid Eligibility data is developed as part of the Highway Performance Monitoring System (HPMS) which maintains and reports transportation related information to the Federal Highway Administration (FHWA) on an annual basis. HPMS is maintained by the Maryland Department of Transportation State Highway Administration (MDOT SHA), under the Office of Planning and Preliminary Engineering (OPPE) Data Services Division (DSD). Roadway Federal Aid Eligibility data is used by various business units throughout MDOT, as well as many other Federal, State and local government agencies. Roadway Federal Aid Eligibility data is key to understanding which public roadways are eligible for Federal funding in the State of Maryland. Roadway Federal Aid Eligibility data is updated and published on an annual basis for the prior year. This data is for the year 2017. For additional information, contact the MDOT SHA Geospatial Technologies Team: Email: GIS@mdot.state.md.us For additional MDOT information, visit the Maryland Department of Transportation (MDOT): Website: https://www.mdot.maryland.gov/ For additional MDOT SHA information, visit the Maryland Department of Transportation State Highway Administration (MDOT SHA): Website: https://www.roads.maryland.gov/Home.aspx MDOT SHA Geospatial Data Legal Disclaimer: The Maryland Department of Transportation State Highway Administration (MDOT SHA) makes no warranty, expressed or implied, as to the use or appropriateness of geospatial data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in geospatial data is from publicly available sources, but no representation is made as to the accuracy or completeness of geospatial data. MDOT SHA shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. MDOT SHA shall not be liable for any lost profits, consequential damages, or claims against MDOT SHA by third parties.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/bq7r-auss,https://opendata.maryland.gov/resource/bq7r-auss.json,07/22/2025 03:37:50 AM,07/22/2025 03:37:52 AM,07/22/2025 03:37:59 AM,opendata.maryland.gov,false,2,0,,5223,20,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
2bui-vvva,Sport Venues - Water Sports,"Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Water Sports.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/2bui-vvva,https://opendata.maryland.gov/resource/2bui-vvva.json,07/21/2025 10:15:41 PM,07/21/2025 10:15:43 PM,07/21/2025 10:15:45 PM,opendata.maryland.gov,false,2,0,,4,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
sfuf-a2rh,Chesapeake Bay Sandy Silt,"This is a data table, in comma-delimited, ASCII format, which contains information about selected physical properties, particularly grain size, of 4,255 surficial sediment samples from the Chesapeake Bay in Maryland. Samples were collected on a 1-km grid by the Maryland Geological Survey (MGS) between June 1976 and August 1984. Consider the age of the data (1976-1984), the sampling density (1-km grid) and the spatial and temporal variability of estuarine sediments in evaluating the fitness for use of this data set. Graphic displays and printed tabular listings derived from this data set may be used in publications and presentations, provided that credit is given to the originators of the data set (see Section 1.1).",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/sfuf-a2rh,https://opendata.maryland.gov/resource/sfuf-a2rh.json,07/22/2025 03:22:35 AM,07/22/2025 03:22:35 AM,07/22/2025 03:22:37 AM,opendata.maryland.gov,false,2,0,,43,8,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
mpmw-p399,Blue Infrastructure Ranks,"The Blue Infrastructure study area and extent of inventory data was defined as the 16 coastal zone counties (Anne Arundel, Baltimore, Calvert, Caroline, Cecil, Charles, Dorchester, Harford, Kent, Prince George's, Queen Anne's, Somerset, St. Mary's, Talbot, Wicomico, and Worcester) and Baltimore City. Including Baltimore City makes a total of 17 designated locations based on sixteen County Boundaries and one City Boundary. Four main models were created to perform the overlay processes to calculate the Zonal Majority used to determine the total rank for all the segments. The Blue Infrastructure assessment was designed as a spatial evaluation of coastal habitat, critical natural resources and associated human uses in the tidal waters and near-shore areas of Maryland's coastal zone. The Assessment is used to identify near-shore tidal habitat priority areas that support coastal habitats and the resources and economies that depend upon them. The Blue Infrastructure was developed through a partnership between the Maryland Department of Natural Resources' Chesapeake and Coastal Program, the National Oceanic and Atmospheric Administration and Towson University's Center for GIS.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/mpmw-p399,https://opendata.maryland.gov/resource/mpmw-p399.json,07/21/2025 11:48:09 PM,07/21/2025 11:48:11 PM,07/21/2025 11:48:23 PM,opendata.maryland.gov,false,2,0,,7459,25,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
4rza-ri2g,UMD Parking Lots,"Aggregate of paved or impervious areas, University of Maryland College Park. Surface types include: Asphalt, brick, concrete, gravel, and stone. Additional data layers integrated with street pavement include: Parking areas and parking lots from the Department of Transportation Services.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/4rza-ri2g,https://opendata.maryland.gov/resource/4rza-ri2g.json,07/22/2025 12:15:03 AM,07/22/2025 12:15:04 AM,07/22/2025 12:15:06 AM,opendata.maryland.gov,false,2,0,,305,6,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
svn2-zf9s,Rural Legacy Properties,"In 1997, the Maryland General Assembly approved the Rural Legacy Program as a major component of Governor Glendening's Smart Growth and Neighborhood Conservation Initiative. The purpose of the Rural Legacy Program is to protect Maryland's best remaining rural landscapes and natural areas through the purchase of land or conservation easements. Funds are awarded by grants to sponsors to purchase fee simple interests or easements on property within a Rural Legacy Area. This file consists of properties that have been protected using Rural Legacy funds.The Department of Natural Resources makes no warranty, expressed or implied, as to the use or appropriateness of Spatial Data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in Spatial Data is from publicly available sources, but no representation is made as to the accuracy or completeness of Spatial Data. The Department of Natural Resources shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROMs or DVD-ROMs and energy. The Department of Natural Resources shall not be liable for any lost profits, consequential damages, or claims against the Department of Natural Resources by third parties. The liability of the Department of Natural Resources for damage regardless of the form of the action shall not exceed any distribution fees that may have been paid in obtaining Spatial Data. This service, or any portion thereof, can be freely distributed as long as the metadata entry is not modified or deleted. Products must include source citation.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/svn2-zf9s,https://opendata.maryland.gov/resource/svn2-zf9s.json,07/21/2025 11:24:16 PM,07/21/2025 11:24:17 PM,07/21/2025 11:24:20 PM,opendata.maryland.gov,false,2,0,,1039,9,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
its2-uk4s,NAIP Imagery Grid,"This data layer contains the index grid for the National Agriculture Imagery Program (NAIP) 2015 imagery. The NAIP program is administered by the U.S. Department of Agriculture Farm Service Agency and has been established to support two main FSA strategic goals centered on agricultural production.
Owner: U.S. Department of Agriculture Farm Service Agency.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/its2-uk4s,https://opendata.maryland.gov/resource/its2-uk4s.json,07/22/2025 12:18:18 AM,07/22/2025 12:18:20 AM,07/22/2025 12:18:22 AM,opendata.maryland.gov,false,2,0,,902,26,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
5rq2-wvbs,Access Structures,"Shoreline Situation Reports (SSR) were first generated by VIMS in the 1970s to report the condition and status of the shore lands. The SSR series were published in hardcopy on a county by county basis for each of the Tidewater Virginia localities. The reports were intended to assist planners, managers, and regulators in decisions pertaining to management of coastal areas and natural resources therein. The techniques developed for Virginia's shoreline are used to create similar reports for the Maryland shoreline. Data collected describes conditions in the immediate riparian zone, the bank, and along the shore. These data should not be used for jurisdictional permit determinations beyond providing general shoreline condition or status information. These data have not been surveyed to property boundaries.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/5rq2-wvbs,https://opendata.maryland.gov/resource/5rq2-wvbs.json,07/21/2025 11:56:51 PM,07/21/2025 11:56:52 PM,07/21/2025 11:56:57 PM,opendata.maryland.gov,false,2,0,,30246,6,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
cwnc-wrns,Bank Cover,"Shoreline Situation Reports (SSR) were first generated by VIMS in the 1970s to report the condition and status of the shore lands. The SSR series were published in hardcopy on a county by county basis for each of the Tidewater Virginia localities. The reports were intended to assist planners, managers, and regulators in decisions pertaining to management of coastal areas and natural resources therein. The techniques developed for Virginia's shoreline are used to create similar reports for the Maryland shoreline. Data collected describes conditions in the immediate riparian zone, the bank, and along the shore. These data should not be used for jurisdictional permit determinations beyond providing general shoreline condition or status information. These data have not been surveyed to property boundaries.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/cwnc-wrns,https://opendata.maryland.gov/resource/cwnc-wrns.json,07/22/2025 12:00:27 AM,07/22/2025 12:00:28 AM,07/22/2025 12:01:16 AM,opendata.maryland.gov,false,2,0,,49984,4,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
aecj-4mpe,Lakes - Generalized,Polygon boundaries of lakes (generalized shape) in Maryland.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/aecj-4mpe,https://opendata.maryland.gov/resource/aecj-4mpe.json,07/21/2025 11:57:58 PM,07/21/2025 11:58:00 PM,07/21/2025 11:58:02 PM,opendata.maryland.gov,false,2,1,,12,9,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
uqwb-azzi,Enterprise Zones,The Maryland Department of Commerce (COMMERCE) identifies and maintains boundaries where business may be eligible for income tax and real property tax credits for job creation and investments. Businesses may be eligible for the following tax credits: real property tax credits and income tax credits.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/uqwb-azzi,https://opendata.maryland.gov/resource/uqwb-azzi.json,07/22/2025 12:19:53 AM,07/22/2025 12:19:55 AM,07/22/2025 12:20:01 AM,opendata.maryland.gov,false,2,1,,39,22,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
jw7n-v8wk,Horseback Riding,"These baseline recreational use data will inform planning efforts being undertaken by the Maryland Department of Natural Resources to help inform public access, land acquisition, future planning and decision-making. Collecting data on the variety of ways the Chesapeake waters and surrounding lands are used will help us plan for reducing use conflicts in our coastal waters, maximizing efficiency, and enhancing environmental and economic productivity. Chesapeake Bay waters are used in many ways: commercial fishing, aquaculture, transport, habitat for wildlife, and recreation, among others. With new and expanding coastal and marine uses, as well as Maryland’s growing coastal population, the pressure is mounting to ensure that there is space for both traditional and new uses and that conflicts are minimized. Some mapped human use data exist, but Maryland has limited recreational water use data for the Chesapeake waters. Basic data on how we use our coastal waters was collected by inviting residents and experts to share their knowledge about recreational uses at workshops using geographical information systems technology.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/jw7n-v8wk,https://opendata.maryland.gov/resource/jw7n-v8wk.json,07/21/2025 10:01:55 PM,07/21/2025 10:01:56 PM,07/21/2025 10:01:58 PM,opendata.maryland.gov,false,2,0,,1,6,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
vjes-tmrd,Surface Water Sports,"Maryland, through its Coastal Zone Management (CZM) Program, is collecting information on how the public uses the Chesapeake Bay waters and adjacent lands. These baseline data will inform planning efforts being undertaken by the Maryland Department of Natural Resources to help inform public access, land acquisition, and future oyster aquaculture planning and decision-making. Collecting data on the variety of ways our Chesapeake waters are used will help us plan for reducing use conflicts in our coastal waters, maximizing efficiency, and enhancing environmental and economic productivity. Chesapeake Bay waters are used in many ways: commercial fishing, aquaculture, transport, habitat for wildlife, and recreation, among others. With new and expanding coastal and marine uses, as well as Maryland’s growing coastal population, the pressure is mounting to ensure that there is space for both traditional and new uses and that conflicts are minimized. Some mapped human use data exist, but Maryland has limited recreational water use data for the Chesapeake waters. Basic data on how we use our coastal waters was collected by inviting residents and experts to share their knowledge about recreational uses at workshops using geographical information systems technology.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/vjes-tmrd,https://opendata.maryland.gov/resource/vjes-tmrd.json,07/21/2025 10:02:41 PM,07/21/2025 10:02:42 PM,07/21/2025 10:02:44 PM,opendata.maryland.gov,false,2,0,,8,6,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
m6rc-sm7f,Waterfowl Areas,A digital polygon layer showing waterfowl concentration and staging areas along Maryland's tidal Chesapeake Bay watershed.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/m6rc-sm7f,https://opendata.maryland.gov/resource/m6rc-sm7f.json,07/22/2025 02:47:08 AM,07/22/2025 02:47:09 AM,07/22/2025 02:47:12 AM,opendata.maryland.gov,false,2,0,,172,5,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
45tf-8ai2,Baltimore Metro SubwayLink Stations,Maryland Transit Administration (MTA) Metro Subway Stops. Ridership data is based on MTA's Fiscal Year 2019. See http://mta.maryland.gov/metro-subway for more information. Last Updated: 10/2019,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/45tf-8ai2,https://opendata.maryland.gov/resource/45tf-8ai2.json,07/22/2025 03:30:39 AM,07/22/2025 03:30:40 AM,07/22/2025 03:30:42 AM,opendata.maryland.gov,false,2,0,,14,12,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
rtj3-638w,Municipal Police Stations,This dataset includes municipal police facilities within Maryland.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/rtj3-638w,https://opendata.maryland.gov/resource/rtj3-638w.json,07/22/2025 03:14:57 AM,07/22/2025 03:14:58 AM,07/22/2025 03:14:59 AM,opendata.maryland.gov,false,2,0,,80,9,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
4g34-ywir,Frederick_County_2022_GeologicStructure,"This layer contains data concerning field measurements of inclined bedding, structure features like fracture, cleavage, and other field measurements within Frederick county. This geodatabase contains geologic data from Frederick and County, Maryland. Data from several geologic quadrangles and two regional scale geologic maps were incorporated into the regional scale geologic feature classes in this geodatabase. Because of the scale of this map, some features were generalized slightly from the quad scale data. Additionally, some corrections were made for accuracy, such as edge matching to resolve ""border faults"". The source data for this map and geodatabase come from maps published by the Maryland Geological Survey from 2001 to the present, as well as one map published in cooperation with the United States Geological Survey. The source maps are Buckeystown (2001), Catoctin Furnace (2004), Frederick (2004), New Windsor (2004), Point of Rocks (2004), Walkersville (2004), Woodsboro (2004), Middletown (2005), Union Bridge (2006), Funkstown (2009), Keedysville, Shepherdstown, Charlestown, and Harpers Ferry (2009), Myersville and Smithsburg (2009), Hagerstown (2013), Mason and Dixon (2013), Clear Spring and Hedgesville (2014), Williamsport (2014), Blue Ridge Summit (2021, in review), Emmitsburg and Taneytown (2021, in review), all 1:24000 quadrangle scale, as well as portions of two regional maps: Geologic Map of Garrett, Allegany, and Western Washington Counties, Maryland (2013), and Geologic Map of the Frederick 30' x 60' Quadrangle, Maryland, Virginia, and West Virginia (USGS, 2007). The GIS data from the referenced maps were mosaiced in Arc Map, corrected for accuracy across quad boundaries, merged to form a continuous dataset and clipped to the extent of Frederick County. Feature level metadata are included, which contain field descriptions for each feature class. This is a small scale dataset, appropriate for 1:100,000 regional scale. Quad scale data are suggested for display or analysis that requires a larger scale. This dataset is prepared for compliance with the USGS GeMS database standard. Last Updated: 06/01/2022",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/4g34-ywir,https://opendata.maryland.gov/resource/4g34-ywir.json,07/22/2025 03:23:30 AM,07/22/2025 03:23:31 AM,07/22/2025 03:23:33 AM,opendata.maryland.gov,false,2,0,,866,9,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
dksd-wnwg,6 Inch 2025 As Flown Photo Centers,"Six inch imagery as flown photo centers using 60% front overlap and 30% side overlap. Acquisition of the six-inch pixel, 4-band imagery included the following counties: Garrett, Allegany, Washington, Frederick, Carroll, and Harford. The six inch imagery acquisition occurred on March 3, March 10, March 18, March 21, March 23, and April 9.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/dksd-wnwg,https://opendata.maryland.gov/resource/dksd-wnwg.json,07/22/2025 12:16:36 AM,07/22/2025 12:16:42 AM,07/22/2025 12:16:48 AM,opendata.maryland.gov,false,2,0,,5001,27,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
rp96-c8ib,US National Grid Zone 18S 6x8 Zones,This layer is the UTM 6x8 zone that covers Zone 18S which covers part of Maryland.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/rp96-c8ib,https://opendata.maryland.gov/resource/rp96-c8ib.json,07/21/2025 11:36:28 PM,07/21/2025 11:36:29 PM,07/21/2025 11:36:31 PM,opendata.maryland.gov,false,2,0,,1,5,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
kpqz-wvmn,Federal Correctional Facilities,This dataset contains correctional facilities run by the United States Bureau of Prisons (BOP) located within Maryland. The data was obtained from the US BOP (http://www.bop.gov/).,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/kpqz-wvmn,https://opendata.maryland.gov/resource/kpqz-wvmn.json,07/22/2025 03:14:23 AM,07/22/2025 03:14:24 AM,07/22/2025 03:14:26 AM,opendata.maryland.gov,false,2,0,,1,11,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
v57f-cehc,US National Grid Zone 17S 6x8 Zones,This is a grid zone designator (GZD) covering Maryland Zone 17S. The polygons are defined by UTM zone and MGRS band letters into mostly 6ºx8º polygons. There are no classification restrictions on this information. This information was created by the National Geospatial-Intelligence Agency (NGA) Coordinate Systems Analysis Team (SNAC).,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/v57f-cehc,https://opendata.maryland.gov/resource/v57f-cehc.json,07/21/2025 11:35:31 PM,07/21/2025 11:35:32 PM,07/21/2025 11:35:34 PM,opendata.maryland.gov,false,2,0,,1,5,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
pzqg-tcfu,Regional Economic Development Offices,This layer contains information on regional economic development offices throughout the state of Maryland.,J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/pzqg-tcfu,https://opendata.maryland.gov/resource/pzqg-tcfu.json,07/22/2025 12:20:41 AM,07/22/2025 12:20:43 AM,07/22/2025 12:20:45 AM,opendata.maryland.gov,false,2,0,,3,17,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
rh7h-v3i7,Maryland Artificial Reef Initiative Center Points,"The Maryland Artificial Reef Initiative (MARI) is a state-run initiative, managed by the Maryland Department of Natural Resources, aimed at developing new fish habitats in the Chesapeake Bay by way of depositing artificial materials (such as concrete reef balls or recycled porcelain) to the bottom of designated sections of water in the Chesapeake Bay. The goal is to see an oyster population develop on the artificial materials, which can attract fish and other marine creatures to the site. The Department of Natural Resources makes no warranty, expressed or implied, as to the use or appropriateness of Spatial Data, and there are no warranties of merchantability or fitness for a particular purpose or use. The information contained in Spatial Data is from publicly available sources, but no representation is made as to the accuracy or completeness of Spatial Data. The Department of Natural Resources shall not be subject to liability for human error, error due to software conversion, defect, or failure of machines, or any material used in the connection with the machines, including tapes, disks, CD-ROM’s or DVD-ROM’s and energy. The Department of Natural Resources shall not be liable for any lost profits, consequential damages, or claims against the Department of Natural Resources by third parties. The liability of the Department of Natural Resources for damage regardless of the form of the action shall not exceed any distribution fees that may have been paid in obtaining Spatial Data.",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/rh7h-v3i7,https://opendata.maryland.gov/resource/rh7h-v3i7.json,07/22/2025 02:29:34 AM,07/22/2025 02:29:35 AM,07/22/2025 02:29:37 AM,opendata.maryland.gov,false,2,0,,38,6,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
pv64-zjma,Frederick_County_2022_SurficialGeologicDeposits,"This layer contains data concerning the location and characteristics of unconsolidated Quaternary deposits within Frederick county. This geodatabase contains geologic data from Frederick County, Maryland. Data from several geologic quadrangles and two regional scale geologic maps were incorporated into the regional scale geologic feature classes in this geodatabase. Because of the scale of this map, some features were generalized slightly from the quad scale data. Additionally, some corrections were made for accuracy, such as edge matching to resolve ""border faults"". The source data for this map and geodatabase come from maps published by the Maryland Geological Survey from 2001 to the present, as well as one map published in cooperation with the United States Geological Survey. The source maps are Buckeystown (2001), Catoctin Furnace (2004), Frederick (2004), New Windsor (2004), Point of Rocks (2004), Walkersville (2004), Woodsboro (2004), Middletown (2005), Union Bridge (2006), Funkstown (2009), Keedysville, Shepherdstown, Charlestown, and Harpers Ferry (2009), Myersville and Smithsburg (2009), Hagerstown (2013), Mason and Dixon (2013), Clear Spring and Hedgesville (2014), Williamsport (2014), Blue Ridge Summit (2021, in review), Emmitsburg and Taneytown (2021, in review), all 1:24000 quadrangle scale, as well as portions of two regional maps: Geologic Map of Garrett, Allegany, and Western Washington Counties, Maryland (2013), and Geologic Map of the Frederick 30' x 60' Quadrangle, Maryland, Virginia, and West Virginia (USGS, 2007). The GIS data from the referenced maps were mosaiced in Arc Map, corrected for accuracy across quad boundaries, merged to form a continuous dataset and clipped to the extent of Frederick County. Feature level metadata are included, which contain field descriptions for each feature class. This is a small scale dataset, appropriate for 1:100,000 regional scale. Quad scale data are suggested for display or analysis that requires a larger scale. This dataset is prepared for compliance with the USGS GeMS database standard. Last Updated: 06/01/2022",J.B. Churchill,37pn-ebz8,published,public,approved,official,dataset,,,https://opendata.maryland.gov/d/pv64-zjma,https://opendata.maryland.gov/resource/pv64-zjma.json,07/22/2025 03:29:46 AM,07/22/2025 03:29:46 AM,07/22/2025 03:29:53 AM,opendata.maryland.gov,false,2,0,,633,7,,,,,,,,,,,,,,,,7,7,,Metdata on the update frequency is missing.,Yes,,,
